transaction_id,timestamp,payment_method,bank,device_type,amount,status,failure_reason
TXN169954,2025-01-01 05:03:00,UPI,SBI,iOS,460.87,SUCCESS,
TXN119464,2025-01-01 05:06:00,UPI,SBI,Android,556.97,SUCCESS,
TXN121638,2025-01-01 05:06:00,UPI,HDFC Bank,Android,980.45,SUCCESS,
TXN124291,2025-01-01 05:08:00,UPI,SBI,iOS,2554.36,SUCCESS,
TXN175284,2025-01-01 05:11:00,Net Banking,HDFC Bank,Android,1139.38,SUCCESS,
TXN156251,2025-01-01 05:11:00,Debit Card,SBI,Android,5280.51,SUCCESS,
TXN135444,2025-01-01 05:16:00,UPI,HDFC Bank,Desktop,317.96,SUCCESS,
TXN141859,2025-01-01 05:18:00,Credit Card,SBI,Android,703.1,SUCCESS,
TXN141919,2025-01-01 05:19:00,UPI,HDFC Bank,iOS,653.88,SUCCESS,
TXN123112,2025-01-01 05:21:00,UPI,SBI,Desktop,2709.33,FAILED,BANK_DECLINE
TXN108245,2025-01-01 05:27:00,UPI,SBI,iOS,157.75,SUCCESS,
TXN122661,2025-01-01 05:28:00,UPI,HDFC Bank,Android,2014.81,SUCCESS,
TXN139310,2025-01-01 05:29:00,UPI,ICICI Bank,Android,297.49,SUCCESS,
TXN158871,2025-01-01 05:29:00,Credit Card,ICICI Bank,Desktop,1103.58,SUCCESS,
TXN151338,2025-01-01 05:31:00,Net Banking,HDFC Bank,Android,144.0,SUCCESS,
TXN170515,2025-01-01 05:34:00,UPI,SBI,Android,6191.17,SUCCESS,
TXN116187,2025-01-01 05:36:00,Debit Card,ICICI Bank,Desktop,726.38,SUCCESS,
TXN129947,2025-01-01 05:38:00,Wallet,ICICI Bank,iOS,10009.2,FAILED,LIMIT_EXCEEDED
TXN152794,2025-01-01 05:38:00,Wallet,ICICI Bank,Android,1321.09,SUCCESS,
TXN111780,2025-01-01 05:39:00,Debit Card,SBI,Android,1815.62,SUCCESS,
TXN104433,2025-01-01 05:44:00,UPI,HDFC Bank,iOS,2659.55,SUCCESS,
TXN160322,2025-01-01 05:49:00,Wallet,SBI,Desktop,815.07,SUCCESS,
TXN155043,2025-01-01 05:53:00,Wallet,Kotak Bank,iOS,2517.18,SUCCESS,
TXN105808,2025-01-01 05:53:00,Debit Card,HDFC Bank,Android,5286.33,SUCCESS,
TXN135315,2025-01-01 05:53:00,Credit Card,Kotak Bank,Android,827.01,SUCCESS,
TXN121535,2025-01-01 05:54:00,UPI,HDFC Bank,Android,1108.94,SUCCESS,
TXN157983,2025-01-01 05:55:00,Debit Card,ICICI Bank,Android,2227.61,SUCCESS,
TXN131898,2025-01-01 05:57:00,Credit Card,ICICI Bank,Android,379.71,SUCCESS,
TXN128946,2025-01-01 06:11:00,UPI,HDFC Bank,Android,1841.36,SUCCESS,
TXN116338,2025-01-01 06:11:00,Credit Card,SBI,iOS,7967.18,SUCCESS,
TXN159052,2025-01-01 06:14:00,Wallet,SBI,Android,1408.46,SUCCESS,
TXN169969,2025-01-01 06:14:00,Wallet,SBI,Android,641.91,SUCCESS,
TXN131622,2025-01-01 06:30:00,Debit Card,Axis Bank,Android,960.93,SUCCESS,
TXN100720,2025-01-01 06:31:00,UPI,ICICI Bank,Android,3490.47,SUCCESS,
TXN130195,2025-01-01 06:33:00,Credit Card,SBI,Android,635.58,SUCCESS,
TXN146801,2025-01-01 06:36:00,Net Banking,SBI,Android,909.96,SUCCESS,
TXN176954,2025-01-01 06:41:00,UPI,Kotak Bank,iOS,2767.52,SUCCESS,
TXN140079,2025-01-01 06:44:00,Wallet,Axis Bank,Android,2100.61,SUCCESS,
TXN136690,2025-01-01 06:44:00,Credit Card,HDFC Bank,Desktop,282.71,SUCCESS,
TXN116775,2025-01-01 06:50:00,Debit Card,SBI,iOS,7900.69,SUCCESS,
TXN122568,2025-01-01 07:04:00,UPI,SBI,Android,679.53,SUCCESS,
TXN114414,2025-01-01 07:07:00,UPI,HDFC Bank,Android,316.29,SUCCESS,
TXN159110,2025-01-01 07:09:00,UPI,SBI,Android,937.04,SUCCESS,
TXN157155,2025-01-01 07:12:00,UPI,Axis Bank,Android,1923.71,SUCCESS,
TXN148171,2025-01-01 07:12:00,UPI,HDFC Bank,Android,2194.11,SUCCESS,
TXN105290,2025-01-01 07:15:00,Wallet,HDFC Bank,Android,364.31,SUCCESS,
TXN152959,2025-01-01 07:16:00,Debit Card,HDFC Bank,iOS,1071.53,SUCCESS,
TXN152123,2025-01-01 07:21:00,Credit Card,ICICI Bank,Desktop,2515.24,FAILED,BANK_DECLINE
TXN102731,2025-01-01 07:27:00,Net Banking,Kotak Bank,Android,361.54,SUCCESS,
TXN170585,2025-01-01 07:28:00,Credit Card,Yes Bank,Android,5505.56,SUCCESS,
TXN167459,2025-01-01 07:28:00,UPI,HDFC Bank,Android,1618.55,SUCCESS,
TXN170554,2025-01-01 07:31:00,Wallet,Kotak Bank,iOS,1583.26,SUCCESS,
TXN144727,2025-01-01 07:40:00,Debit Card,ICICI Bank,Android,1008.62,SUCCESS,
TXN133677,2025-01-01 07:40:00,UPI,Kotak Bank,Android,961.72,FAILED,GATEWAY_ERROR
TXN107496,2025-01-01 07:41:00,Credit Card,Kotak Bank,Android,893.24,SUCCESS,
TXN151565,2025-01-01 07:43:00,Wallet,HDFC Bank,Android,1402.97,SUCCESS,
TXN119377,2025-01-01 07:47:00,Credit Card,ICICI Bank,iOS,843.83,SUCCESS,
TXN145788,2025-01-01 07:50:00,Credit Card,ICICI Bank,iOS,2853.96,SUCCESS,
TXN128810,2025-01-01 07:53:00,UPI,Kotak Bank,Desktop,2522.94,FAILED,BANK_TIMEOUT
TXN177560,2025-01-01 07:54:00,Debit Card,Axis Bank,Android,3043.99,SUCCESS,
TXN131661,2025-01-01 07:56:00,UPI,Kotak Bank,Android,2810.69,SUCCESS,
TXN153413,2025-01-01 07:56:00,Debit Card,HDFC Bank,Android,1637.8,SUCCESS,
TXN150123,2025-01-01 08:05:00,Debit Card,SBI,iOS,754.42,SUCCESS,
TXN149294,2025-01-01 08:07:00,Credit Card,SBI,Android,2926.05,SUCCESS,
TXN105805,2025-01-01 08:10:00,Debit Card,HDFC Bank,Desktop,730.2,SUCCESS,
TXN121366,2025-01-01 08:11:00,Credit Card,HDFC Bank,Android,1772.67,SUCCESS,
TXN132691,2025-01-01 08:15:00,Credit Card,ICICI Bank,iOS,520.71,SUCCESS,
TXN164708,2025-01-01 08:22:00,Credit Card,ICICI Bank,Android,438.1,SUCCESS,
TXN127015,2025-01-01 08:24:00,Credit Card,Yes Bank,Desktop,3226.4,SUCCESS,
TXN154166,2025-01-01 08:27:00,UPI,SBI,Android,662.43,SUCCESS,
TXN127852,2025-01-01 08:31:00,UPI,HDFC Bank,Android,4768.92,SUCCESS,
TXN134941,2025-01-01 08:33:00,UPI,Axis Bank,iOS,2760.79,SUCCESS,
TXN129752,2025-01-01 08:36:00,Debit Card,Kotak Bank,Desktop,714.92,SUCCESS,
TXN122898,2025-01-01 08:36:00,Net Banking,SBI,Android,15514.26,SUCCESS,
TXN123090,2025-01-01 08:37:00,UPI,HDFC Bank,Android,7115.23,SUCCESS,
TXN113466,2025-01-01 08:39:00,UPI,Axis Bank,Android,451.7,SUCCESS,
TXN154852,2025-01-01 08:41:00,UPI,HDFC Bank,Android,549.32,SUCCESS,
TXN101968,2025-01-01 08:44:00,Credit Card,Kotak Bank,Android,1425.8,SUCCESS,
TXN165110,2025-01-01 08:45:00,Net Banking,SBI,iOS,641.61,SUCCESS,
TXN105987,2025-01-01 08:46:00,Wallet,HDFC Bank,iOS,1566.97,SUCCESS,
TXN155663,2025-01-01 08:49:00,Net Banking,HDFC Bank,Android,362.85,SUCCESS,
TXN114349,2025-01-01 08:52:00,Credit Card,SBI,iOS,3104.01,SUCCESS,
TXN108961,2025-01-01 08:55:00,Credit Card,HDFC Bank,Android,1184.39,SUCCESS,
TXN170507,2025-01-01 09:02:00,Net Banking,SBI,Android,2755.55,SUCCESS,
TXN149202,2025-01-01 09:05:00,Debit Card,ICICI Bank,iOS,752.62,SUCCESS,
TXN144791,2025-01-01 09:06:00,Debit Card,HDFC Bank,Android,486.55,SUCCESS,
TXN169778,2025-01-01 09:15:00,Net Banking,Axis Bank,iOS,3760.14,SUCCESS,
TXN161509,2025-01-01 09:16:00,Debit Card,HDFC Bank,iOS,292.17,SUCCESS,
TXN126530,2025-01-01 09:17:00,Credit Card,SBI,iOS,2187.91,SUCCESS,
TXN175187,2025-01-01 09:25:00,Net Banking,HDFC Bank,iOS,2905.79,SUCCESS,
TXN102916,2025-01-01 09:27:00,UPI,Kotak Bank,Android,295.57,SUCCESS,
TXN159240,2025-01-01 09:34:00,Debit Card,HDFC Bank,iOS,718.59,SUCCESS,
TXN131422,2025-01-01 09:37:00,Credit Card,SBI,iOS,611.31,SUCCESS,
TXN142211,2025-01-01 09:39:00,Credit Card,HDFC Bank,Android,1031.35,SUCCESS,
TXN141174,2025-01-01 09:47:00,Credit Card,ICICI Bank,Android,1551.13,SUCCESS,
TXN154825,2025-01-01 09:48:00,Wallet,ICICI Bank,Desktop,615.5,SUCCESS,
TXN117898,2025-01-01 09:54:00,Net Banking,SBI,iOS,4641.02,SUCCESS,
TXN126229,2025-01-01 09:56:00,Net Banking,ICICI Bank,Desktop,769.18,SUCCESS,
TXN123514,2025-01-01 10:00:00,Net Banking,ICICI Bank,Android,669.61,SUCCESS,
TXN137030,2025-01-01 10:00:00,UPI,ICICI Bank,Desktop,422.06,SUCCESS,
TXN104001,2025-01-01 10:04:00,Credit Card,HDFC Bank,Android,975.44,SUCCESS,
TXN145671,2025-01-01 10:06:00,UPI,ICICI Bank,Desktop,5022.69,SUCCESS,
TXN122895,2025-01-01 10:12:00,UPI,ICICI Bank,Android,3084.34,SUCCESS,
TXN157746,2025-01-01 10:13:00,UPI,HDFC Bank,Android,956.84,SUCCESS,
TXN168065,2025-01-01 10:14:00,UPI,Kotak Bank,Android,1275.68,FAILED,BANK_TIMEOUT
TXN137716,2025-01-01 10:15:00,Credit Card,HDFC Bank,Android,613.21,SUCCESS,
TXN129384,2025-01-01 10:16:00,UPI,SBI,Android,606.75,SUCCESS,
TXN172847,2025-01-01 10:16:00,Debit Card,Axis Bank,Android,791.94,SUCCESS,
TXN167627,2025-01-01 10:22:00,UPI,Kotak Bank,Android,681.89,SUCCESS,
TXN106768,2025-01-01 10:27:00,Debit Card,HDFC Bank,Android,3970.3,SUCCESS,
TXN169300,2025-01-01 10:28:00,Credit Card,Axis Bank,Android,1526.76,SUCCESS,
TXN136123,2025-01-01 10:36:00,UPI,Kotak Bank,Android,4267.7,SUCCESS,
TXN114901,2025-01-01 10:40:00,UPI,ICICI Bank,iOS,1219.87,SUCCESS,
TXN113749,2025-01-01 10:42:00,Credit Card,Kotak Bank,Android,740.48,SUCCESS,
TXN128558,2025-01-01 10:42:00,UPI,SBI,iOS,5564.22,SUCCESS,
TXN177166,2025-01-01 10:44:00,UPI,Kotak Bank,Desktop,3243.13,SUCCESS,
TXN125008,2025-01-01 10:46:00,UPI,SBI,iOS,1098.2,SUCCESS,
TXN156600,2025-01-01 10:48:00,UPI,SBI,iOS,3992.87,FAILED,BANK_DECLINE
TXN162925,2025-01-01 10:54:00,Net Banking,SBI,iOS,89.3,SUCCESS,
TXN103707,2025-01-01 10:58:00,UPI,ICICI Bank,iOS,2158.39,SUCCESS,
TXN122224,2025-01-01 11:06:00,Credit Card,HDFC Bank,Android,720.07,SUCCESS,
TXN159685,2025-01-01 11:13:00,Net Banking,Yes Bank,Android,902.04,SUCCESS,
TXN122748,2025-01-01 11:14:00,Credit Card,Axis Bank,Android,490.68,SUCCESS,
TXN135353,2025-01-01 11:15:00,UPI,HDFC Bank,Desktop,449.55,SUCCESS,
TXN142957,2025-01-01 11:18:00,UPI,ICICI Bank,iOS,2106.81,SUCCESS,
TXN116756,2025-01-01 11:30:00,Debit Card,HDFC Bank,Android,7840.99,SUCCESS,
TXN157676,2025-01-01 11:31:00,UPI,Kotak Bank,iOS,448.73,FAILED,GATEWAY_ERROR
TXN157711,2025-01-01 11:36:00,UPI,Axis Bank,iOS,624.75,SUCCESS,
TXN156345,2025-01-01 11:39:00,UPI,ICICI Bank,Android,1058.78,SUCCESS,
TXN173678,2025-01-01 11:42:00,UPI,HDFC Bank,Android,1815.89,SUCCESS,
TXN169346,2025-01-01 11:47:00,Credit Card,Axis Bank,Desktop,673.59,FAILED,NETWORK_ERROR
TXN126266,2025-01-01 11:51:00,UPI,Kotak Bank,iOS,2499.18,SUCCESS,
TXN127369,2025-01-01 11:52:00,Wallet,ICICI Bank,Android,1765.0,SUCCESS,
TXN100589,2025-01-01 11:52:00,Debit Card,HDFC Bank,iOS,5945.44,SUCCESS,
TXN151164,2025-01-01 11:54:00,Credit Card,ICICI Bank,Android,1832.6,SUCCESS,
TXN134730,2025-01-01 11:56:00,Credit Card,Yes Bank,Android,4217.51,SUCCESS,
TXN178039,2025-01-01 11:59:00,Net Banking,ICICI Bank,Android,868.21,SUCCESS,
TXN140893,2025-01-01 12:03:00,Net Banking,HDFC Bank,iOS,197.36,SUCCESS,
TXN122456,2025-01-01 12:09:00,Debit Card,ICICI Bank,Android,743.7,SUCCESS,
TXN112774,2025-01-01 12:09:00,Credit Card,HDFC Bank,iOS,4901.89,SUCCESS,
TXN113809,2025-01-01 12:13:00,Debit Card,ICICI Bank,iOS,1028.47,SUCCESS,
TXN155745,2025-01-01 12:15:00,Net Banking,Yes Bank,Android,4217.23,SUCCESS,
TXN151685,2025-01-01 12:18:00,UPI,ICICI Bank,Android,2574.82,SUCCESS,
TXN166674,2025-01-01 12:22:00,UPI,HDFC Bank,Android,4340.21,SUCCESS,
TXN164117,2025-01-01 12:24:00,UPI,SBI,Android,3782.07,SUCCESS,
TXN126756,2025-01-01 12:28:00,Debit Card,Axis Bank,Android,5191.52,SUCCESS,
TXN107458,2025-01-01 12:29:00,UPI,ICICI Bank,Android,828.02,SUCCESS,
TXN101922,2025-01-01 12:29:00,UPI,Axis Bank,Android,4045.99,SUCCESS,
TXN121473,2025-01-01 12:32:00,UPI,HDFC Bank,iOS,1063.0,SUCCESS,
TXN145071,2025-01-01 12:33:00,UPI,HDFC Bank,iOS,1377.11,SUCCESS,
TXN138328,2025-01-01 12:37:00,Credit Card,SBI,iOS,9038.2,SUCCESS,
TXN111216,2025-01-01 12:38:00,Credit Card,Axis Bank,Android,2331.09,SUCCESS,
TXN178401,2025-01-01 12:40:00,UPI,ICICI Bank,iOS,1886.62,SUCCESS,
TXN136652,2025-01-01 12:43:00,UPI,Kotak Bank,Android,124.33,FAILED,INVALID_VPA_RESPONSE
TXN102593,2025-01-01 12:45:00,UPI,HDFC Bank,Android,3751.36,SUCCESS,
TXN147027,2025-01-01 12:47:00,Wallet,Axis Bank,Android,6803.83,SUCCESS,
TXN129669,2025-01-01 12:49:00,UPI,Kotak Bank,iOS,1336.76,FAILED,GATEWAY_ERROR
TXN146139,2025-01-01 12:49:00,Debit Card,Yes Bank,iOS,8369.9,FAILED,NETWORK_ERROR
TXN132716,2025-01-01 12:55:00,Debit Card,ICICI Bank,Android,2164.45,SUCCESS,
TXN114350,2025-01-01 13:00:00,Net Banking,ICICI Bank,Android,599.33,SUCCESS,
TXN144026,2025-01-01 13:06:00,Credit Card,SBI,Android,97.66,SUCCESS,
TXN177824,2025-01-01 13:14:00,Debit Card,Axis Bank,Desktop,7671.46,SUCCESS,
TXN168285,2025-01-01 13:17:00,Debit Card,ICICI Bank,iOS,531.24,SUCCESS,
TXN106211,2025-01-01 13:18:00,Debit Card,HDFC Bank,iOS,2874.72,SUCCESS,
TXN106411,2025-01-01 13:19:00,Debit Card,ICICI Bank,Android,2103.53,FAILED,NETWORK_ERROR
TXN121581,2025-01-01 13:22:00,Debit Card,Axis Bank,iOS,139.39,SUCCESS,
TXN145419,2025-01-01 13:26:00,Credit Card,HDFC Bank,iOS,4106.24,SUCCESS,
TXN157424,2025-01-01 13:27:00,UPI,ICICI Bank,iOS,6907.8,SUCCESS,
TXN153393,2025-01-01 13:29:00,Credit Card,HDFC Bank,Android,526.53,SUCCESS,
TXN133034,2025-01-01 13:32:00,Debit Card,SBI,Android,5605.99,SUCCESS,
TXN163815,2025-01-01 13:47:00,UPI,ICICI Bank,Android,279.77,SUCCESS,
TXN154727,2025-01-01 13:50:00,UPI,SBI,iOS,653.04,SUCCESS,
TXN161059,2025-01-01 13:55:00,UPI,Axis Bank,Android,1548.35,FAILED,OTP_TIMEOUT
TXN171283,2025-01-01 14:06:00,UPI,HDFC Bank,iOS,3727.67,SUCCESS,
TXN148230,2025-01-01 14:16:00,Wallet,SBI,Android,3155.88,FAILED,INSUFFICIENT_FUNDS
TXN143077,2025-01-01 14:18:00,UPI,Kotak Bank,Android,1125.85,FAILED,INVALID_VPA_RESPONSE
TXN159472,2025-01-01 14:23:00,Debit Card,HDFC Bank,iOS,2158.71,SUCCESS,
TXN163234,2025-01-01 14:24:00,Wallet,Kotak Bank,Desktop,2442.3,SUCCESS,
TXN121610,2025-01-01 14:28:00,Credit Card,HDFC Bank,Android,174.91,SUCCESS,
TXN126643,2025-01-01 14:30:00,UPI,ICICI Bank,iOS,1937.46,SUCCESS,
TXN119761,2025-01-01 14:33:00,UPI,ICICI Bank,Desktop,427.2,FAILED,INSUFFICIENT_FUNDS
TXN142683,2025-01-01 14:34:00,Credit Card,Axis Bank,iOS,613.47,SUCCESS,
TXN114095,2025-01-01 14:35:00,Debit Card,Kotak Bank,Desktop,10564.09,SUCCESS,
TXN116009,2025-01-01 14:38:00,Wallet,HDFC Bank,Android,8407.43,SUCCESS,
TXN144747,2025-01-01 14:42:00,Credit Card,ICICI Bank,iOS,752.42,SUCCESS,
TXN112365,2025-01-01 14:45:00,UPI,HDFC Bank,Desktop,659.02,SUCCESS,
TXN104250,2025-01-01 14:46:00,Net Banking,ICICI Bank,Android,485.12,SUCCESS,
TXN161696,2025-01-01 14:48:00,UPI,ICICI Bank,iOS,2364.2,SUCCESS,
TXN135516,2025-01-01 14:56:00,UPI,Axis Bank,Desktop,1160.49,SUCCESS,
TXN153908,2025-01-01 14:57:00,UPI,ICICI Bank,Android,2468.88,SUCCESS,
TXN164286,2025-01-01 14:58:00,UPI,Kotak Bank,Android,793.26,SUCCESS,
TXN127085,2025-01-01 14:59:00,Debit Card,SBI,Desktop,3185.35,SUCCESS,
TXN109620,2025-01-01 15:10:00,Net Banking,ICICI Bank,Android,896.87,SUCCESS,
TXN146698,2025-01-01 15:13:00,Debit Card,HDFC Bank,Android,824.98,SUCCESS,
